 本行信息时间(北京时间)     位置X(km,J2000)     位置Y(km,J2000)     位置Z(km,J2000)  速度VX(km/s,J2000)  速度VY(km/s,J2000)  速度VZ(km/s,J2000)    定轨或预报
2023-04-20B15:26:30.000        25116.074112        23547.779313        14262.096677         1.248009141         3.683088509         2.064921717        1
2023-04-20B15:27: 0.000        25153.427571        23658.190485        14323.994977         1.242229216         3.677660679         2.061634482        1
2023-04-20B15:27:30.000        25190.608328        23768.439216        14385.794916         1.236495552         3.672259131         2.058364294        1
2023-04-20B15:28: 0.000        25227.617761        23878.526293        14447.497004         1.230807583         3.666883655         2.055111009        1
2023-04-20B15:28:30.000        25264.457234        23988.452494        14509.101744         1.225164753         3.661534046         2.051874478        1
2023-04-20B15:29: 0.000        25301.128093        24098.218593        14570.609638         1.219566514         3.656210100         2.048654560        1
2023-04-20B15:29:30.000        25337.631666        24207.825355        14632.021182         1.214012326         3.650911615         2.045451110        1
2023-04-20B15:30: 0.000        25373.969267        24317.273542        14693.336868         1.208501660         3.645638392         2.042263989        1
2023-04-20B15:30:30.000        25410.142195        24426.563909        14754.557184         1.203033993         3.640390232         2.039093058        1
2023-04-20B15:31: 0.000        25446.151732        24535.697205        14815.682612         1.197608812         3.635166940         2.035938179        1
2023-04-20B15:31:30.000        25481.999144        24644.674172        14876.713634         1.192225612         3.629968321         2.032799215        1
2023-04-20B15:32: 0.000        25517.685683        24753.495549        14937.650723         1.186883897         3.624794183         2.029676033        1
2023-04-20B15:32:30.000        25553.212587        24862.162066        14998.494352         1.181583176         3.619644337         2.026568499        1
2023-04-20B15:33: 0.000        25588.581079        24970.674450        15059.244988         1.176322968         3.614518594         2.023476483        1
2023-04-20B15:33:30.000        25623.792366        25079.033421        15119.903095         1.171102799         3.609416768         2.020399853        1
2023-04-20B15:34: 0.000        25658.847643        25187.239693        15180.469132         1.165922204         3.604338673         2.017338483        1
2023-04-20B15:34:30.000        25693.748089        25295.293977        15240.943555         1.160780721         3.599284128         2.014292243        1
2023-04-20B15:35: 0.000        25728.494873        25403.196975        15301.326817         1.155677900         3.594252952         2.011261010        1
2023-04-20B15:35:30.000        25763.089145        25510.949386        15361.619365         1.150613296         3.589244964         2.008244658        1
2023-04-20B15:36: 0.000        25797.532048        25618.551903        15421.821644         1.145586469         3.584259989         2.005243066        1
2023-04-20B15:36:30.000        25831.824707        25726.005213        15481.934095         1.140596989         3.579297850         2.002256110        1
2023-04-20B15:37: 0.000        25865.968237        25833.310000        15541.957155         1.135644430         3.574358373         1.999283671        1
