 本行信息时间(北京时间)     位置X(km,WGS84)     位置Y(km,WGS84)     位置Z(km,WGS84)  速度VX(km/s,WGS84)  速度VY(km/s,WGS84)  速度VZ(km/s,WGS84)    定轨或预报
2023-04-20B15:09: 0.000         2928.052546        30567.924729        12083.186011         0.528570076         3.586535105         2.195457783        1
2023-04-20B15:09:30.000         2944.137290        30675.406815        12148.989543         0.543742519         3.578942253         2.191448329        1
2023-04-20B15:10: 0.000         2960.676833        30782.661564        12214.673145         0.558890009         3.571379128         2.187462502        1
2023-04-20B15:10:30.000         2977.670425        30889.689853        12280.237525         0.574012539         3.563844781         2.183500075        1
2023-04-20B15:11: 0.000         2995.117320        30996.492531        12345.683380         0.589110103         3.556338280         2.179560826        1
2023-04-20B15:11:30.000         3013.016766        31103.070421        12411.011402         0.604182697         3.548858713         2.175644537        1
2023-04-20B15:12: 0.000         3031.368016        31209.424317        12476.222278         0.619230319         3.541405184         2.171750991        1
2023-04-20B15:12:30.000         3050.170320        31315.554986        12541.316685         0.634252968         3.533976816         2.167879973        1
2023-04-20B15:13: 0.000         3069.422929        31421.463171        12606.295298         0.649250644         3.526572748         2.164031271        1
2023-04-20B15:13:30.000         3089.125093        31527.149588        12671.158781         0.664223350         3.519192135         2.160204677        1
2023-04-20B15:14: 0.000         3109.276064        31632.614927        12735.907796         0.679171090         3.511834150         2.156399984        1
2023-04-20B15:14:30.000         3129.875093        31737.859857        12800.542995         0.694093867         3.504497980         2.152616987        1
2023-04-20B15:15: 0.000         3150.921430        31842.885019        12865.065028         0.708991687         3.497182828         2.148855484        1
2023-04-20B15:15:30.000         3172.414328        31947.691031        12929.474535         0.723864557         3.489887914         2.145115277        1
2023-04-20B15:16: 0.000         3194.353038        32052.278491        12993.772154         0.738712485         3.482612470         2.141396168        1
2023-04-20B15:16:30.000         3216.736812        32156.647969        13057.958513         0.753535479         3.475355743         2.137697963        1
2023-04-20B15:17: 0.000         3239.564902        32260.800017        13122.034237         0.768333549         3.468116997         2.134020468        1
2023-04-20B15:17:30.000         3262.836559        32364.735164        13185.999944         0.783106704         3.460895506         2.130363495        1
2023-04-20B15:18: 0.000         3286.551038        32468.453916        13249.856248         0.797854956         3.453690560         2.126726854        1
2023-04-20B15:18:30.000         3310.707591        32571.956758        13313.603755         0.812578316         3.446501461         2.123110360        1
2023-04-20B15:19: 0.000         3335.305472        32675.244157        13377.243067         0.827276795         3.439327526         2.119513830        1
2023-04-20B15:19:30.000         3360.343934        32778.316557        13440.774780         0.841950407         3.432168082         2.115937082        1
2023-04-20B15:20: 0.000         3385.822231        32881.174383        13504.199486         0.856599165         3.425022469         2.112379938        1
2023-04-20B15:20:30.000         3411.739619        32983.818040        13567.517769         0.871223081         3.417890041         2.108842220        1
2023-04-20B15:21: 0.000         3438.095351        33086.247914        13630.730210         0.885822171         3.410770163         2.105323752        1
2023-04-20B15:21:30.000         3464.888684        33188.464372        13693.837383         0.900396447         3.403662211         2.101824363        1
2023-04-20B15:22: 0.000         3492.118873        33290.467762        13756.839858         0.914945925         3.396565572         2.098343881        1
2023-04-20B15:22:30.000         3519.785175        33392.258416        13819.738201         0.929470619         3.389479646         2.094882136        1
2023-04-20B15:23: 0.000         3547.886846        33493.836645        13882.532970         0.943970544         3.382403843         2.091438964        1
2023-04-20B15:23:30.000         3576.423143        33595.202744        13945.224721         0.958445715         3.375337582         2.088014197        1
